Name,Age,Nationality,Fifa Score,Club,Value,Salary
A. Oxlade-Chamberlain,23,England,80,Liverpool,€20M,€105K
J. Guilavogui,26,France,80,VfL Wolfsburg,€15M,€66K
O. Özyakup,24,Turkey,80,Beşiktaş JK,€19.5M,€54K
Y. Rakitskyi,27,Ukraine,80,Shakhtar Donetsk,€14.5M,€1K
Sergi Enrich,27,Spain,80,SD Eibar,€17.5M,€31K
Neto,27,Brazil,80,Valencia CF,€10M,€30K
Hugo Mallo,26,Spain,80,RC Celta de Vigo,€15M,€29K
D. Didavi,27,Germany,80,VfL Wolfsburg,€17M,€73K
R. Soriano,26,Italy,80,Villarreal CF,€17.5M,€42K
A. Schürrle,26,Germany,80,Borussia Dortmund,€17.5M,€66K
M. Gonalons,28,France,80,Roma,€12M,€71K
R. Pereyra,26,Argentina,80,Watford,€18M,€69K
K. Vogt,25,Germany,80,TSG 1899 Hoffenheim,€15M,€40K
F. Orellana,31,Chile,80,Valencia CF,€13M,€40K
Maicon,28,Brazil,80,Galatasaray SK,€12M,€68K
E. Salvio,26,Argentina,80,SL Benfica,€16M,€17K
D. Blind,27,Netherlands,80,Manchester United,€13.5M,€120K
S. El Shaarawy,24,Italy,80,Roma,€19M,€71K
M. Antonio,27,England,80,West Ham United,€17.5M,€120K
Iago Falqué,27,Spain,80,Torino,€15.5M,€61K
S. Rondón,27,Venezuela,80,West Bromwich Albion,€16M,€89K
Daniel Carriço,28,Portugal,80,Sevilla FC,€13.5M,€23K
M. Schmelzer,29,Germany,80,Borussia Dortmund,€11M,€63K
J. McCarthy,26,Republic of Ireland,80,Everton,€15.5M,€110K
A. Dzagoev,27,Russia,80,CSKA Moscow,€16.5M,€57K
Ganso,27,Brazil,80,Sevilla FC,€17M,€24K
F. Smolov,27,Russia,80,FC Krasnodar,€17.5M,€59K
D. Welbeck,26,England,80,Arsenal,€17.5M,€130K
Luiz Gustavo,29,Brazil,80,Olympique de Marseille,€11.5M,€37K
Mikel San José,28,Spain,80,Athletic Club de Bilbao,€14.5M,€33K
M. Darmian,27,Italy,80,Manchester United,€13.5M,€120K
R. Thomas,29,France,80,Angers SCO,€11.5M,€32K
I. Traoré,29,Guinea,80,Borussia Mönchengladbach,€14.5M,€48K
Sidnei,27,Brazil,80,RC Deportivo de La Coruña,€14.5M,€29K
J. Lens,29,Netherlands,80,Beşiktaş JK,€14.5M,€17K
Eder,30,Italy,80,Inter,€14.5M,€80K
Kiko Casilla,30,Spain,80,Real Madrid CF,€9.5M,€120K
Nacho Monreal,31,Spain,80,Arsenal,€9.5M,€110K
S. Bender,28,Germany,80,Bayer 04 Leverkusen,€13.5M,€59K
M. Díaz,30,Chile,80,U.N.A.M.,€13.5M,€31K
A. Fernández,31,Argentina,80,Atlético Madrid,€12.5M,€62K
M. Berg,30,Sweden,80,,€0,€0.00
I. Piatti,32,Argentina,80,Montreal Impact,€11.5M,€14K
V. Birsa,30,Slovenia,80,Chievo Verona,€14M,€25K
Pedro León,30,Spain,80,SD Eibar,€14M,€29K
K. Boateng,30,Ghana,80,Eintracht Frankfurt,€14.5M,€41K
Marcano,30,Spain,80,FC Porto,€11M,€18K
H. Moreno,29,Mexico,80,Roma,€11.5M,€71K
S. Romero,30,Argentina,80,Manchester United,€9.5M,€97K
A. Candreva,30,Italy,80,Inter,€14M,€74K
D. Criscito,30,Italy,80,Zenit St. Petersburg,€10.5M,€67K
D. Wass,28,Denmark,80,RC Celta de Vigo,€14.5M,€33K
Coke,30,Spain,80,FC Schalke 04,€10.5M,€44K
A. Guardado,30,Mexico,80,Real Betis Balompié,€13.5M,€32K
J. dos Santos,27,Mexico,80,LA Galaxy,€16.5M,€13K
E. Lamela,25,Argentina,80,Tottenham Hotspur,€18.5M,€96K
R. Bertrand,27,England,80,Southampton,€12M,€86K
Renato Augusto,29,Brazil,80,,€0,€0.00
Jardel,31,Brazil,80,SL Benfica,€10M,€16K
V. Denisov,30,Uzbekistan,80,Lokomotiv Moscow,€10.5M,€50K
D. Basta,32,Serbia,80,Lazio,€8M,€54K
G. Cabral,31,Argentina,80,RC Celta de Vigo,€10M,€29K
G. Paletta,31,Italy,80,Milan,€10M,€96K
T. Walcott,28,England,80,Arsenal,€15M,€125K
L. Fabiański,32,Poland,80,Swansea City,€8.5M,€60K
B. Foster,34,England,80,West Bromwich Albion,€6M,€60K
V. Ibišević,32,Bosnia Herzegovina,80,Hertha BSC Berlin,€12M,€41K
K. El Ahmadi,32,Morocco,80,Feyenoord,€11M,€23K
S. Kalou,31,Ivory Coast,80,Hertha BSC Berlin,€13M,€38K
Manuel Fernandes,31,Portugal,80,Lokomotiv Moscow,€13M,€54K
A. Granqvist,32,Sweden,80,FC Krasnodar,€8.5M,€50K
L. Podolski,32,Germany,80,Vissel Kobe,€12M,€13K
Javi Fuego,33,Spain,80,RCD Espanyol,€6M,€34K
F. Belluschi,33,Argentina,80,San Lorenzo de Almagro,€9M,€30K
A. Mirante,33,Italy,80,Bologna,€7.5M,€48K
V. Enyeama,34,Nigeria,80,LOSC Lille,€6M,€40K
F. Marchetti,34,Italy,80,Lazio,€6M,€44K
Kaká,35,Brazil,80,Orlando City Soccer Club,€6.5M,€10K
J. Milner,31,England,80,Liverpool,€9.5M,€110K
A. Hutchinson,34,Canada,80,Beşiktaş JK,€4.5M,€56K
M. Topal,31,Turkey,80,Fenerbahçe SK,€10M,€73K
J. Mathieu,33,France,80,Sporting CP,€6M,€21K
C. Kameni,33,Cameroon,80,Fenerbahçe SK,€7.5M,€59K
P. Jagielka,34,England,80,Everton,€4.5M,€110K
P. Evra,36,France,80,Olympique de Marseille,€1.7M,€25K
J. Defoe,34,England,80,Bournemouth,€8M,€87K
Júlio César,37,Brazil,80,SL Benfica,€1M,€8K
M. Carrick,35,England,80,Manchester United,€3.5M,€86K
M. Almirón,23,Paraguay,79,Atlanta United FC,€16.5M,€11K
Oyarzabal,20,Spain,79,Real Sociedad,€18M,€33K
Soares,26,Brazil,79,FC Porto,€15.5M,€21K
M. Campaña,28,Uruguay,79,Independiente,€11M,€23K
F. Andone,24,Romania,79,RC Deportivo de La Coruña,€17M,€31K
M. Acuña,25,Argentina,79,Sporting CP,€16M,€22K
V. Lindelöf,22,Sweden,79,Manchester United,€15M,€105K
Y. Cardinale,23,France,79,OGC Nice,€12.5M,€26K
C. Lenglet,22,France,79,Sevilla FC,€14.5M,€19K
M. Dahoud,21,Germany,79,Borussia Dortmund,€18.5M,€52K
D. Zappacosta,25,Italy,79,Chelsea,€13.5M,€110K
N. Maksimović,25,Serbia,79,Napoli,€13.5M,€64K
E. Rigoni,24,Argentina,79,Zenit St. Petersburg,€17.5M,€64K
I. Marcone,27,Argentina,79,Club Atlético Lanús,€12.5M,€23K
L. López,27,Argentina,79,SL Benfica,€12M,€16K
A. Correa,22,Argentina,79,Atlético Madrid,€19M,€60K
K. Coman,21,France,79,FC Bayern Munich,€18M,€81K
S. Kritsyuk,26,Russia,79,FC Krasnodar,€11M,€40K
W. Cyprien,22,France,79,OGC Nice,€18.5M,€37K
Diego Llorente,23,Spain,79,Real Sociedad,€16M,€29K
Anderson Talisca,23,Brazil,79,Beşiktaş JK,€17M,€15K
L. Dendoncker,22,Belgium,79,RSC Anderlecht,€15M,€25K
M. Meyer,21,Germany,79,FC Schalke 04,€18M,€38K
Gayà,22,Spain,79,Valencia CF,€14M,€31K
S. Boufal,23,Morocco,79,Southampton,€17M,€90K
M. Benassi,22,Italy,79,Fiorentina,€17.5M,€64K
N. Tagliafico,24,Argentina,79,Independiente,€14M,€23K
E. Hysaj,23,Albania,79,Napoli,€13.5M,€58K
João Cancelo,23,Portugal,79,Inter,€15M,€31K
A. Romagnoli,22,Italy,79,Milan,€16M,€83K
Óliver Torres,22,Spain,79,FC Porto,€17M,€17K
H. Çalhanoğlu,23,Turkey,79,Milan,€16.5M,€92K
Gerard Moreno,25,Spain,79,RCD Espanyol,€16.5M,€39K
B. Traoré,21,Burkina Faso,79,Olympique Lyonnais,€17.5M,€65K
L. Vietto,23,Argentina,79,Atlético Madrid,€18M,€60K
L. Paredes,23,Argentina,79,Zenit St. Petersburg,€16.5M,€64K
M. Arnold,23,Germany,79,VfL Wolfsburg,€16.5M,€63K
S. Gnabry,21,Germany,79,TSG 1899 Hoffenheim,€18.5M,€81K
L. Shaw,21,England,79,Manchester United,€14M,€91K
E. Višća,27,Bosnia Herzegovina,79,İstanbul Başakşehir FK,€13M,€35K
Bernard,24,Brazil,79,Shakhtar Donetsk,€17M,€1K
D. Baselli,25,Italy,79,Torino,€16.5M,€54K
A. Milik,23,Poland,79,Napoli,€18M,€71K
Bernat,24,Spain,79,FC Bayern Munich,€13.5M,€81K
W. Orban,24,Germany,79,RB Leipzig,€13.5M,€57K
Rubén Pardo,24,Spain,79,Real Sociedad,€16M,€33K
K. Zouma,22,France,79,Stoke City,€15M,€96K
C. Kramer,26,Germany,79,Borussia Mönchengladbach,€13M,€42K
S. Vrsaljko,25,Croatia,79,Atlético Madrid,€13.5M,€54K
Zé Luís,26,Cape Verde,79,Spartak Moscow,€15.5M,€80K
J. Stones,23,England,79,Manchester City,€14.5M,€105K
J. Vestergaard,24,Denmark,79,Borussia Mönchengladbach,€14.5M,€36K
Fernando,25,Brazil,79,Spartak Moscow,€14M,€64K
M. Depay,23,Netherlands,79,Olympique Lyonnais,€17M,€71K
F. Fernández,28,Argentina,79,Swansea City,€10M,€78K
S. Sané,26,Senegal,79,Hannover 96,€12.5M,€47K
N. Sansone,25,Italy,79,Villarreal CF,€16M,€43K
P. Ntep,24,France,79,VfL Wolfsburg,€16M,€63K
F. Ghoulam,26,Algeria,79,Napoli,€13M,€68K
J. Murillo,25,Colombia,79,Valencia CF,€13.5M,€64K
Gabriel Paulista,26,Brazil,79,Valencia CF,€12.5M,€37K
V. Darida,26,Czech Republic,79,Hertha BSC Berlin,€14.5M,€38K
Cédric,25,Portugal,79,Southampton,€13M,€82K
L. Tonelli,27,Italy,79,Napoli,€12.5M,€68K
R. Saponara,25,Italy,79,Fiorentina,€16M,€6K
D. Sidibé,24,France,79,AS Monaco,€13M,€35K
Y. Konoplyanka,27,Ukraine,79,FC Schalke 04,€13M,€53K
L. Digne,23,France,79,FC Barcelona,€14M,€125K
Paco Alcácer,23,Spain,79,FC Barcelona,€17.5M,€150K
Vicente Gómez,28,Spain,79,UD Las Palmas,€12.5M,€30K
E. Çolak,26,Turkey,79,RC Deportivo de La Coruña,€15.5M,€32K
N. Jørgensen,26,Denmark,79,Feyenoord,€15.5M,€25K
Oriol Romeu,25,Spain,79,Southampton,€13M,€82K
Nolito,30,Spain,79,Sevilla FC,€12M,€26K
B. Martins Indi,25,Netherlands,79,Stoke City,€13.5M,€71K
M. Gabbiadini,25,Italy,79,Southampton,€16.5M,€98K
P. Herrmann,26,Germany,79,Borussia Mönchengladbach,€15M,€46K
F. Lejeune,26,France,79,Newcastle United,€13.5M,€75K
J. Bruma,25,Netherlands,79,VfL Wolfsburg,€13.5M,€63K
P. Jones,25,England,79,Manchester United,€12.5M,€115K
Adrián,30,Spain,79,West Ham United,€8M,€80K
Keko,25,Spain,79,Málaga CF,€16M,€31K
H. Pérez,28,Paraguay,79,RCD Espanyol,€12.5M,€39K
Jaume Costa,29,Spain,79,Villarreal CF,€9.5M,€40K
A. Areola,24,France,79,Paris Saint-Germain,€13M,€54K
Escudero,27,Spain,79,Sevilla FC,€10.5M,€22K
Y. Mallı,25,Turkey,79,VfL Wolfsburg,€15.5M,€69K
A. Kokorin,26,Russia,79,Zenit St. Petersburg,€15.5M,€80K
S. Corchia,26,France,79,Sevilla FC,€12M,€22K
J. Kucka,30,Slovakia,79,Trabzonspor,€11.5M,€42K
J. Zoet,26,Netherlands,79,PSV,€11M,€17K
A. Ljajić,25,Serbia,79,Torino,€16M,€58K
Canales,26,Spain,79,Real Sociedad,€15.5M,€37K
M. Hitz,29,Switzerland,79,FC Augsburg,€8.5M,€27K
Balenziaga,29,Spain,79,Athletic Club de Bilbao,€9.5M,€31K
W. Bony,28,Ivory Coast,79,Swansea City,€13M,€92K
B. Hübner,27,Germany,79,TSG 1899 Hoffenheim,€10.5M,€42K
F. Coquelin,26,France,79,Arsenal,€12M,€110K
Jonathas,28,Brazil,79,Hannover 96,€13M,€59K
G. Bou,27,Argentina,79,Club Tijuana,€14.5M,€34K
V. Babacan,28,Turkey,79,İstanbul Başakşehir FK,€10M,€28K
S. Doumbia,29,Ivory Coast,79,Sporting CP,€12.5M,€26K
C. Noboa,32,Ecuador,79,Zenit St. Petersburg,€9.5M,€74K
I. Smolnikov,28,Russia,79,Zenit St. Petersburg,€10M,€71K
Maurício,28,Brazil,79,Lazio,€10M,€57K
M. Fabián,27,Mexico,79,Eintracht Frankfurt,€13M,€38K
R. Zieler,28,Germany,79,VfB Stuttgart,€10M,€27K
D. Drinkwater,27,England,79,Chelsea,€14M,€125K
A. Kolarov,31,Serbia,79,Roma,€8M,€68K
Mariano,31,Brazil,79,Galatasaray SK,€8M,€65K
S. Feghouli,27,Algeria,79,Galatasaray SK,€13M,€77K
K. Papadopoulos,25,Greece,79,Hamburger SV,€13.5M,€40K
S. Wagner,29,Germany,79,TSG 1899 Hoffenheim,€12.5M,€52K
P. Piatti,28,Argentina,79,RCD Espanyol,€12.5M,€39K
C. Yacob,29,Argentina,79,West Bromwich Albion,€10M,€78K
A. Ogbonna,29,Italy,79,West Ham United,€10M,€105K
Roberto,31,Spain,79,Málaga CF,€7.5M,€28K
N. Amrabat,30,Morocco,79,CD Leganés,€12M,€69K
W. Vainqueur,28,France,79,Antalyaspor,€10M,€25K
Marcelo,30,Brazil,79,Olympique Lyonnais,€9.5M,€68K
Antunes,30,Portugal,79,Getafe CF,€9M,€29K
Fabricio,29,Spain,79,Beşiktaş JK,€10M,€48K
S. Prödl,30,Austria,79,Watford,€9.5M,€63K
S. Tasci,30,Germany,79,Spartak Moscow,€9.5M,€67K
F. Johnson,29,United States,79,Borussia Mönchengladbach,€12.5M,€48K
Bojan,26,Spain,79,Deportivo Alavés,€15M,€82K
M. Fellaini,29,Belgium,79,Manchester United,€12M,€140K
P. Wernbloom,31,Sweden,79,CSKA Moscow,€8.5M,€52K
A. Ayew,27,Ghana,79,West Ham United,€13M,€110K
D. Ospina,28,Colombia,79,Arsenal,€9M,€91K
W. Reid,28,New Zealand,79,West Ham United,€11.5M,€105K
Lucas Leiva,30,Brazil,79,Lazio,€9.5M,€54K
Z. Junuzović,29,Austria,79,SV Werder Bremen,€12M,€40K
C. Ansaldi,30,Argentina,79,Torino,€9M,€68K
V. Moses,26,Nigeria,79,Chelsea,€12.5M,€115K
D. Zurutuza,30,France,79,Real Sociedad,€11.5M,€37K
D. Valeri,31,Argentina,79,Portland Timbers,€11M,€13K
José Fonte,33,Portugal,79,West Ham United,€5M,€99K
N. Şahin,28,Turkey,79,Borussia Dortmund,€10M,€63K
Gervinho,30,Ivory Coast,79,,€0,€0.00
G. dos Santos,28,Mexico,79,LA Galaxy,€13M,€15K
R. Shawcross,29,England,79,Stoke City,€10M,€78K
J. Evans,29,Northern Ireland,79,West Bromwich Albion,€10M,€78K
S. Sirigu,30,Italy,79,Torino,€8M,€41K
A. Gyan,31,Ghana,79,Kayserispor,€11.5M,€24K
Y. Cabaye,31,France,79,Crystal Palace,€11M,€69K
Danilo,33,Brazil,79,Udinese,€5M,€34K
N. Pareja,33,Argentina,79,Sevilla FC,€5M,€22K
S. Radu,30,Romania,79,Lazio,€9M,€54K
D. Abraham,30,Argentina,79,Eintracht Frankfurt,€9.5M,€35K
M. Krohn-Dehli,34,Denmark,79,Sevilla FC,€6.5M,€24K
Jurado,31,Spain,79,RCD Espanyol,€11M,€37K
B. Gomis,31,France,79,Galatasaray SK,€11.5M,€77K
H. Herrera,27,Mexico,79,FC Porto,€14M,€19K
Luisão,36,Brazil,79,SL Benfica,€1.7M,€11K
V. Berezutskiy,35,Russia,79,CSKA Moscow,€3M,€37K
I. Akinfeev,31,Russia,79,CSKA Moscow,€7.5M,€42K
I. Denisov,33,Russia,79,Lokomotiv Moscow,€5M,€50K
A. Samedov,32,Russia,79,Spartak Moscow,€10M,€74K
Xabi Prieto,33,Spain,79,Real Sociedad,€7.5M,€37K
Negredo,31,Spain,79,Beşiktaş JK,€11.5M,€67K
A. Pyatov,33,Ukraine,79,Shakhtar Donetsk,€6.5M,€1K
P. Zabaleta,32,Argentina,79,West Ham United,€7M,€99K
G. Ochoa,31,Mexico,79,Standard de Liège,€7.5M,€18K
W. Caballero,35,Argentina,79,Chelsea,€3M,€59K
Vágner Love,33,Brazil,79,Alanyaspor,€8M,€24K
M. Vorm,33,Netherlands,79,Tottenham Hotspur,€6.5M,€74K
D. Baier,33,Germany,79,FC Augsburg,€5M,€32K
Gomes,36,Brazil,79,Watford,€1.7M,€33K
R. Adler,32,Germany,79,1. FSV Mainz 05,€7M,€28K
S. Sorrentino,38,Italy,79,Chievo Verona,€850K,€12K
T. Rosický,36,Czech Republic,79,Sparta Praha,€4.2M,€1K
A. Pirlo,38,Italy,79,New York City Football Club,€4M,€10K
G. Barry,36,England,79,West Bromwich Albion,€1.7M,€53K
E. Belözoğlu,36,Turkey,79,İstanbul Başakşehir FK,€4M,€26K
A. Lunev,25,Russia,78,Zenit St. Petersburg,€9M,€43K
André Silva,21,Portugal,78,Milan,€15.5M,€77K
K. Dolberg,19,Denmark,78,Ajax,€16.5M,€10K
Yeray,22,Spain,78,Athletic Club de Bilbao,€12M,€21K
C. Pulisic,18,United States,78,Borussia Dortmund,€16.5M,€31K
L. Tousart,20,France,78,Olympique Lyonnais,€14M,€43K
A. Onana,21,Cameroon,78,Ajax,€11M,€8K
V. Koziello,21,France,78,OGC Nice,€14.5M,€28K
N. Radoja,24,Serbia,78,RC Celta de Vigo,€13.5M,€23K
V. Rongier,22,France,78,FC Nantes,€14M,€24K
O. Al Soma,28,Syria,78,Al Ahli,€10.5M,€49K
F. Cervi,23,Argentina,78,SL Benfica,€14.5M,€13K
Jorge Meré,20,Spain,78,1. FC Köln,€12M,€26K
Jony,25,Spain,78,Málaga CF,€12.5M,€26K
R. Karsdorp,22,Netherlands,78,Roma,€12M,€48K
Dani Ceballos,20,Spain,78,Real Madrid CF,€16.5M,€105K
H. Lozano,21,Mexico,78,PSV,€14.5M,€17K
Raúl,27,Brazil,78,SC Braga,€10M,€14K
Pau López,22,Spain,78,RCD Espanyol,€10M,€19K
M. Vecino,25,Uruguay,78,Inter,€13M,€59K
A. Sanabria,21,Paraguay,78,Real Betis Balompié,€15.5M,€23K
R. Battaglia,25,Argentina,78,Sporting CP,€12.5M,€18K
J. Izquierdo,24,Colombia,78,Brighton & Hove Albion,€13M,€50K
T. Bongonda,21,Belgium,78,Trabzonspor,€14.5M,€23K
Rúben Semedo,23,Portugal,78,Villarreal CF,€12.5M,€27K
Rafa,24,Portugal,78,SL Benfica,€14M,€13K
Morales,29,Spain,78,Levante UD,€10M,€28K
Capa,25,Spain,78,SD Eibar,€11.5M,€21K
M. Sportiello,25,Italy,78,Fiorentina,€9.5M,€22K
D. Zapata,26,Colombia,78,Sampdoria,€13M,€67K
D. Benedetto,27,Argentina,78,Boca Juniors,€12M,€29K
A. Ruiz,23,Argentina,78,Sporting CP,€14.5M,€18K
D. Laxalt,24,Uruguay,78,Genoa,€13.5M,€30K
D. Origi,22,Belgium,78,VfL Wolfsburg,€15M,€92K
N. Stark,22,Germany,78,Hertha BSC Berlin,€12.5M,€25K
Hernâni,25,Portugal,78,FC Porto,€12.5M,€15K
Iuri Medeiros,22,Portugal,78,Sporting CP,€14.5M,€16K
Bruno Fernandes,22,Portugal,78,Sporting CP,€14.5M,€16K
R. Gagliardini,23,Italy,78,Inter,€14.5M,€27K
Pedro Santos,29,Portugal,78,Columbus Crew SC,€10M,€11K
Carles Gil,24,Spain,78,RC Deportivo de La Coruña,€14M,€23K
Paulo Oliveira,26,Portugal,78,SD Eibar,€11M,€22K
A. Szymanowski,28,Argentina,78,CD Leganés,€10.5M,€29K
Bruno Peres,27,Brazil,78,Roma,€11M,€62K
K. Wimmer,24,Austria,78,Stoke City,€12M,€53K
Tiago Volpi,26,Brazil,78,Querétaro,€8.5M,€11K
F. Kostić,24,Serbia,78,Hamburger SV,€14M,€33K
A. Samaris,28,Greece,78,SL Benfica,€8.5M,€14K
A. Doucouré,24,France,78,Watford,€12M,€45K
G. Pizarro,27,Argentina,78,Sevilla FC,€10M,€18K
J. Martínez,24,Venezuela,78,Atlanta United FC,€13.5M,€10K
M. Ginter,23,Germany,78,Borussia Mönchengladbach,€11.5M,€30K
J. Lingard,24,England,78,Manchester United,€13M,€95K
M. Weiser,23,Germany,78,Hertha BSC Berlin,€12M,€25K
D. Cheryshev,26,Russia,78,Villarreal CF,€12M,€35K
Bigas,26,Spain,78,UD Las Palmas,€11M,€22K
D. Heintz,23,Germany,78,1. FC Köln,€11.5M,€30K
B. Davies,24,Wales,78,Tottenham Hotspur,€11M,€66K
L. Castro,28,Argentina,78,Chievo Verona,€10.5M,€22K
J. Ward-Prowse,22,England,78,Southampton,€15M,€68K
T. Inui,29,Japan,78,SD Eibar,€10M,€25K
M. Sabitzer,23,Austria,78,RB Leipzig,€13.5M,€53K
B. Mendy,22,France,78,Manchester City,€13M,€86K
R. Jiménez,26,Mexico,78,SL Benfica,€12.5M,€16K
E. Sala,26,Argentina,78,FC Nantes,€12.5M,€30K
B. Reynet,26,France,78,Dijon FCO,€8.5M,€17K
M. Niang,22,France,78,Torino,€14.5M,€84K
K. Fortounis,24,Greece,78,Olympiakos CFP,€13.5M,€1K
Pozuelo,25,Spain,78,KRC Genk,€13M,€19K
Joãozinho,28,Brazil,78,FC Krasnodar,€10.5M,€47K
P. Kadeřábek,25,Czech Republic,78,TSG 1899 Hoffenheim,€11M,€33K
T. Vilhena,22,Netherlands,78,Feyenoord,€14M,€17K
M. Elyounoussi,22,Norway,78,FC Basel,€14M,€36K
L. Bittencourt,23,Germany,78,1. FC Köln,€13.5M,€33K
Sergi Darder,23,Spain,78,RCD Espanyol,€14M,€54K
D. Demme,25,Germany,78,RB Leipzig,€11M,€53K
V. Eysseric,25,France,78,Fiorentina,€12.5M,€64K
G. Ramírez,26,Uruguay,78,Sampdoria,€13M,€39K
David López,27,Spain,78,RCD Espanyol,€8.5M,€28K
C. Tătăruşanu,31,Romania,78,FC Nantes,€6.5M,€20K
M. Badelj,28,Croatia,78,Fiorentina,€10.5M,€64K
A. Mandi,25,Algeria,78,Real Betis Balompié,€11.5M,€23K
Ismaily,27,Brazil,78,Shakhtar Donetsk,€8.5M,€1K
A. Marchesín,29,Argentina,78,Club América,€8M,€45K
L. Teodorczyk,26,Poland,78,RSC Anderlecht,€12.5M,€29K
Marafona,30,Portugal,78,SC Braga,€6.5M,€11K
B. Lecomte,26,France,78,Montpellier Hérault SC,€9.5M,€22K
N. Chadli,27,Belgium,78,West Bromwich Albion,€11M,€68K
S. Rode,26,Germany,78,Borussia Dortmund,€10.5M,€50K
M. van Ginkel,24,Netherlands,78,PSV,€13.5M,€89K
André André,27,Portugal,78,FC Porto,€10.5M,€16K
J. Guidetti,25,Sweden,78,RC Celta de Vigo,€13.5M,€28K
Danilo,25,Brazil,78,Manchester City,€10.5M,€95K
V. Aboubakar,25,Cameroon,78,FC Porto,€13.5M,€17K
C. Aránguiz,28,Chile,78,Bayer 04 Leverkusen,€10.5M,€54K
Raúl Navas,29,Spain,78,Real Sociedad,€9M,€30K
K. Mbodj,27,Senegal,78,RSC Anderlecht,€10M,€24K
Rodrigo,26,Spain,78,Valencia CF,€13M,€36K
R. Funes Mori,26,Argentina,78,Monterrey,€13M,€63K
M. Höger,27,Germany,78,1. FC Köln,€10.5M,€38K
N. Lodeiro,28,Uruguay,78,Seattle Sounders FC,€10.5M,€11K
D. Caligiuri,29,Italy,78,FC Schalke 04,€10M,€42K
S. Verdi,24,Italy,78,Bologna,€13M,€52K
E. Pérez,31,Argentina,78,River Plate,€9M,€25K
T. Gutiérrez,32,Colombia,78,CPD Junior Barranquilla,€8.5M,€6K
C. Austin,27,England,78,Southampton,€11M,€85K
E. Berisha,28,Albania,78,Atalanta,€8.5M,€24K
G. Gillet,33,Belgium,78,Olympiakos CFP,€4.2M,€1K
L. López,34,Argentina,78,Racing Club de Avellaneda,€5.5M,€25K
A. Townsend,25,England,78,Crystal Palace,€12.5M,€55K
D. Heintz,23,Germany,78,1. FC Köln,€11.5M,€30K
Pozuelo,25,Spain,78,KRC Genk,€13M,€19K
T. Vermaelen,31,Belgium,78,FC Barcelona,€7M,€120K
I. Abate,30,Italy,78,Milan,€7.5M,€80K
J. Briand,31,France,78,En Avant de Guingamp,€9.5M,€30K
M. Sabitzer,23,Austria,78,RB Leipzig,€13.5M,€53K
Capa,25,Spain,78,SD Eibar,€11.5M,€21K
J. Toulalan,33,France,78,Girondins de Bordeaux,€4.2M,€41K
Bruno Alves,35,Portugal,78,Rangers,€2.4M,€38K
T. Howard,38,United States,78,Colorado Rapids,€700K,€5K
M. Barovero,33,Argentina,78,Necaxa,€5M,€13K
C. Aránguiz,28,Chile,78,Bayer 04 Leverkusen,€10.5M,€54K
V. Rongier,22,France,78,FC Nantes,€14M,€24K
Joaquín,35,Spain,78,Real Betis Balompié,€4.5M,€20K
J. Lingard,24,England,78,Manchester United,€13M,€95K
S. Bocchetti,30,Italy,78,Spartak Moscow,€7.5M,€56K
A. Marchesín,29,Argentina,78,Club América,€8M,€45K
Muniain,24,Spain,78,Athletic Club de Bilbao,€14M,€26K
Danilo,25,Brazil,78,Manchester City,€10.5M,€95K
C. Gentner,31,Germany,78,VfB Stuttgart,€9M,€29K
O. Al Soma,28,Syria,78,Al Ahli,€10.5M,€49K
F. Gago,31,Argentina,78,Boca Juniors,€7M,€25K
Bigas,26,Spain,78,UD Las Palmas,€11M,€22K
D. Origi,22,Belgium,78,VfL Wolfsburg,€15M,€92K
D. Cheryshev,26,Russia,78,Villarreal CF,€12M,€35K
R. van Persie,33,Netherlands,78,Fenerbahçe SK,€6.5M,€72K
M. Layún,29,Mexico,78,FC Porto,€8M,€15K
V. Eysseric,25,France,78,Fiorentina,€12.5M,€64K
Sergi Darder,23,Spain,78,RCD Espanyol,€14M,€54K
D. Laxalt,24,Uruguay,78,Genoa,€13.5M,€30K
Tiago Volpi,26,Brazil,78,Querétaro,€8.5M,€11K
Morales,29,Spain,78,Levante UD,€10M,€28K
V. Aboubakar,25,Cameroon,78,FC Porto,€13.5M,€17K
A. Szymanowski,28,Argentina,78,CD Leganés,€10.5M,€29K
N. Nkoulou,27,Cameroon,78,Torino,€10M,€57K
S. Ignashevich,37,Russia,78,CSKA Moscow,€1.4M,€31K
Ismaily,27,Brazil,78,Shakhtar Donetsk,€8.5M,€1K
Pau López,22,Spain,78,RCD Espanyol,€10M,€19K
